potěr,fry [fraɪ]
aspirace,aspiration [ˌæs.pɪˈreɪ.ʃən]
vrah,assassin [əˈsæs.ɪn]
vůle,backlash [ˈbæk.læʃ]
pivovar,brewery [ˈbrʊə.ri]
žárovka,bulb [bʌlb]
lepenka,cardboard [ˈkɑːd.bɔːd]
nedbale,casually [ˈkæʒ.ju.ə.li]
žvýkat,chew [tʃuː]
vedlejší,collateral [kəˈlæt.ər.əl]
přetížení,congestion [kənˈdʒes.tʃən]
věřitel,creditor [ˈkred.ɪ.tər]
Crossover,crossover [ˈkrɒs.əʊ.vər]
Crunch,crunch [krʌntʃ]
den,daytime [ˈdeɪ.taɪm]
zánik,demise [dɪˈmaɪz]
závislost,dependence [dɪˈpen.dəns]
diktátor,dictator [dɪkˈteɪ.tər]
deseticent,dime [daɪm]
katastrofální,dire [daɪər]
nesouhlas,disagreement [ˌdɪs.əˈɡriː.mənt]
žák,disciple [dɪˈsaɪ.pəl]
ignorovat,disregard [ˌdɪs.rɪˈɡɑːd]
distributor,distributor [dɪˈstrɪb.jə.tər]
Dominion,dominion [dəˈmɪn.jən]
z kopce,downhill [ˌdaʊnˈhɪl]
děsivý,dreadful [ˈdred.fəl]
opilý,drunken [ˈdrʌŋ.kən]
seriózní,earnest [ˈɜː.nɪst]
vymazat,erase [ɪˈreɪz]
evakuuji,evacuate [ɪˈvæk.ju.eɪt]
geneticky,genetically [dʒəˈnet.ɪ.kəl.i]
zajíc,hare [heər]
tady,herein [ˌhɪəˈrɪn]
čestný,honorary [ˈɒn.ər.ə.ri]
nezralý,immature [ˌɪm.əˈtʃʊər]
imperativ,imperative [ɪmˈper.ə.tɪv]
neefektivní,ineffective [ˌɪn.ɪˈfek.tɪv]
plést,knit [nɪt]
mužný,manly [ˈmæn.li]
mateřství,maternity [məˈtɜː.nə.ti]
pochybení,misconduct [ˌmɪsˈkɒn.dʌkt]
morálka,morale [məˈrɑːl]
ztlumený,mute [mjuːt]
zbytečné,needless [ˈniːd.ləs]
novinka,novelty [ˈnɒv.əl.ti]
optimismus,optimism [ˈɒp.tɪ.mɪ.zəm]
optimalizace,optimization [ˌɒp.tɪ.maɪˈzeɪ.ʃən]
kysličník,oxide [ˈɒk.saɪd]
rolník,peasant [ˈpez.ənt]
obvodový,peripheral [pəˈrɪf.ər.əl]
pinta,pint [paɪnt]
prosí,plead [pliːd]
hovno,poop [puːp]
pornografie,pornography [pɔːˈnɒɡ.rə.fi]
prevalence,prevalence [ˈprev.əl.əns]
prozatímní,provisional [prəˈvɪʒ.ən.əl]
splatit,repay [rɪˈpeɪ]
Rouge,rouge [ruːʒ]
saturovat,saturate [ˈsætʃ.ər.eɪt]
strčit,shove [ʃʌv]
senzační,smashing [ˈsmæʃ.ɪŋ]
namočit,soak [səʊk]
Softball,softball [ˈsɒft.bɔːl]
jihovýchodní,southeastern [ˌsaʊθˈiː.stən]
divák,spectator [spekˈteɪ.tər]
klopýtnutí,stumble [ˈstʌm.bəl]
hloupost,stupidity [stjuːˈpɪd.ə.ti]
potlačit,suppress [səˈpres]
hmatatelný,tangible [ˈtæn.dʒə.bəl]
náklon,tilt [tɪlt]
triviální,trivial [ˈtrɪv.i.əl]
Turek,turk [tɜːk]
neoficiální,unofficial [ˌʌn.əˈfɪʃ.əl]
závoj,veil [veɪl]
univerzální,versatile [ˈvɜː.sə.taɪl]
Varšava,warsaw [ˈwɔː.sɔː]
antropologie,anthropology [ˌæn.θrəˈpɒl.ə.dʒi]
tepna,artery [ˈɑː.tər.i]
ostružina,blackberry [ˈblæk.bər.i]
chlast,booze [buːz]
bzučení,buzzing [bʌz]
ráže,caliber [ˈkæl.ə.bɚ]
akord,chord [kɔːd]
koncese,concession [kənˈseʃ.ən]
desátník,corporal [ˈkɔː.pər.əl]
nádvoří,courtyard [ˈkɔːt.jɑːd]
hřeben,crest [krest]
Dang,dang [dæŋ]
klamání,deception [dɪˈsep.ʃən]
derivát,derivative [dɪˈrɪv.ə.tɪv]
nepohodlí,discomfort [dɪˈskʌm.fət]
drasticky,drastically [ˈdræs.tɪ.kəl.i]
příjezdová cesta,driveway [ˈdraɪv.weɪ]
souboj,duel [ˈdʒuː.əl]
elf,elf [elf]
rovnoměrně,evenly [ˈiː.vən.li]
osvobození,exemption [ɪɡˈzemp.ʃən]
módní,fashionable [ˈfæʃ.ən.ə.bəl]
vynést,fetch [fetʃ]
rybář,fisherman [ˈfɪʃ.ə.mən]
impozantní,formidable [fɔːˈmɪd.ə.bəl]
poskytnout,furnish [ˈfɜː.nɪʃ]
Fuzzy,fuzzy [ˈfʌz.i]
granát,grenade [ɡrəˈneɪd]
osada,hamlet [ˈhæm.lət]
kormidlo,helm [helm]
obrovsky,hugely [ˈhjuːdʒ.li]
pokrytectví,hypocrisy [hɪˈpɒk.rɪ.si]
nepřesné,inaccurate [ɪnˈæk.jə.rət]
Počátek,inception [ɪnˈsep.ʃən]
neschopný,incompetent [ɪnˈkɒm.pɪ.tənt]
neurčitě,indefinitely [ɪnˈdef.ɪ.nət.li]
zasahovat,intervene [ˌɪn.təˈviːn]
příbuzní,kin [kɪn]
humr,lobster [ˈlɒb.stər]
osamělost,loneliness [ˈləʊn.li.nəs]
malárie,malaria [məˈleə.ri.ə]
manifest,manifesto [ˌmæn.ɪˈfes.təʊ]
bludiště,maze [meɪz]
klášter,monastery [ˈmɒn.ə.stri]
mutace,mutation [mjuːˈteɪ.ʃən]
těsně,narrowly [ˈnær.əʊ.li]
nedbalost,negligence [ˈneɡ.lɪ.dʒəns]
Nexus,nexus [ˈnek.səs]
Numerické,numerical [njuːˈmer.ɪ.kəl]
zastaralý,obsolete [ˌɒb.səlˈiːt]
panda,panda [ˈpæn.də]
rezonance,resonance [ˈrez.ən.əns]
nemilosrdný,ruthless [ˈruːθ.ləs]
zachránit,salvage [ˈsæl.vɪdʒ]
samuraj,samurai [ˈsæm.u.raɪ]
satira,satire [ˈsæt.aɪər]
Slash,slash [slæʃ]
špagety,spaghetti [spəˈɡet.i]
rychlý,speedy [ˈspiː.di]
představení,staging [ˈsteɪ.dʒɪŋ]
stanovisko,standpoint [ˈstænd.pɔɪnt]
Stein,stein [staɪn]
houpat,sway [sweɪ]
lákavý,tempting [ˈtemp.tɪŋ]
točivý moment,torque [tɔːk]
protiústavní,unconstitutional [ʌnˌkɒn.stɪˈtʃuː.ʃən.əl]
podkopat,undermine [ˌʌn.dəˈmaɪn]
Volné místo,vacancy [ˈveɪ.kən.si]
vetovat,veto [ˈviː.təʊ]
odborné,vocational [vəʊˈkeɪ.ʃən.əl]
branka,wicket [ˈwɪk.ɪt]
odolat,withstand [wɪðˈstænd]
Woodland,woodland [ˈwʊd.lənd]
zinek,zinc [zɪŋk]
navyknout,accustom [əˈkʌs·təm]
přiměřeně,adequately [ˈæd.ə.kwət.li]
úžasně,amazingly [əˈmeɪ.zɪŋ.li]
přibližný,approximate [əˈprɒk.sɪ.mət]
Bam,bam [bæm]
obušek,baton [ˈbæt.ɒn]
rozpad,breakup [ˈbreɪkˌʌp]
velbloud,camel [ˈkæm.əl]
kus,chunk [tʃʌŋk]
spolužák,classmate [ˈklɑːs.meɪt]
koka,coca [ˈkəʊ.kə]
kakao,cocoa [ˈkəʊ.kəʊ]
kometa,comet [ˈkɒm.ɪt]
oddíl,compartment [kəmˈpɑːt.mənt]
soutěžící,contestant [kənˈtes.tənt]
Corpus,corpus [ˈkɔː.pəs]
zátoka,cove [kəʊv]
útulný,cozy [ˈkəʊ.zi]
kulturně,culturally [ˈkʌl.tʃər.əl.i]
nedostatek,deficiency [dɪˈfɪʃ.ən.si]
deportovat,deport [dɪˈpɔːt]
diktatura,dictatorship [dɪkˈteɪ.tə.ʃɪp]
neuctivý,disrespectful [ˌdɪs.rɪˈspekt.fəl]
strach,dread [dred]
Dummy,dummy [ˈdʌm.i]
voliči,electorate [iˈlek.tər.ət]
eroze,erosion [ɪˈrəʊ.ʒən]
bok,flank [flæŋk]
ruční,handmade [ˌhændˈmeɪd]
incidence,incidence [ˈɪn.sɪ.dəns]
intimita,intimacy [ˈɪn.tɪ.mə.si]
kotě,kitten [ˈkɪt.ən]
páka,lever [ˈliː.vər]
najetých kilometrů,mileage [ˈmaɪ.lɪdʒ]
mutant,mutant [ˈmjuː.tənt]
mytologie,mythology [mɪˈθɒl.ə.dʒi]
Neon,neon [ˈniː.ɒn]
severovýchodní,northeastern [ˌnɔːˈθiː.stən]
jeptiška,nun [nʌn]
nutriční,nutritional [njuːˈtrɪʃ.ən.əl]
pedál,pedal [ˈped.əl]
škůdce,pest [pest]
pilíř,pillar [ˈpɪl.ər]
věrohodné,plausible [ˈplɔː.zə.bəl]
poly,poly [ˈpɒl.i]
srážky,precipitation [prɪˌsɪp.ɪˈteɪ.ʃən]
štěně,pup [pʌp]
karanténa,quarantine [ˈkwɒr.ən.tiːn]
dotaz,query [ˈkwɪə.ri]
omezení,restraint [rɪˈstreɪnt]
trhlina,rift [rɪft]
prodavač,salesman [ˈseɪlz.mən]
Scarlet,scarlet [ˈskɑː.lət]
Kanalizace,sewer [sʊər]
plácnutí,smack [smæk]
Sonny,sonny [ˈsʌn.i]
stonek,stalk [stɔːk]
steh,stitch [stɪtʃ]
substrát,substrate [ˈsʌb.streɪt]
sultán,sultan [ˈsʌl.tən]
svrchovanost,supremacy [suːˈprem.ə.si]
teoreticky,theoretically [θɪəˈret.ɪ.kəl.i]
žízeň,thirst [θɜːst]
přechodný,transitional [trænˈzɪʃ.ən.əl]
tuňák,tuna [ˈtʃuː.nə]
hledisko,viewpoint [ˈvjuː.pɔɪnt]
ocet,vinegar [ˈvɪn.ɪ.ɡər]
paruka,wig [wɪɡ]
přidružení,affiliation [əˌfɪl.iˈeɪ.ʃən]
agresivně,aggressively [əˈɡres.ɪv.li]
alergie,allergy [ˈæl.ə.dʒi]
amnestie,amnesty [ˈæm.nə.sti]
tvrzení,assertion [əˈsɜː.ʃən]
podkroví,attic [ˈæt.ɪk]
autobiografie,autobiography [ˌɔː.tə.baɪˈɒɡ.rə.fi]
vysílatel,broadcaster [ˈbrɔːdˌkɑː.stər]
mezipaměť,cache [kæʃ]
mrkev,carrot [ˈkær.ət]
koherentní,coherent [kəʊˈhɪə.rənt]
pohodlný,comfy [ˈkʌm.fi]
soudruh,comrade [ˈkɒm.reɪd]
připustit,concede [kənˈsiːd]
konfliktní,conflicting [kənˈflɪk.tɪŋ]
křivý,crooked [ˈkrʊk.ɪd]
pěstování,cultivation [ˌkʌl.tɪˈveɪ.ʃən]
přemístění,displacement [dɪˈspleɪs.mənt]
neúcta,disrespect [ˌdɪs.rɪˈspekt]
potápěč,diver [ˈdaɪ.vər]
drastický,drastic [ˈdræs.tɪk]
jedlý,edible [ˈed.ə.bəl]
zvýšení,enhancement [ɪnˈhɑːns.mənt]
Fiat,fiat [ˈfiː.æt]
švihnutí,flick [flɪk]
zděšený,funky [ˈfʌŋ.ki]
gag,gag [ɡæɡ]
gigantický,gigantic [ˌdʒaɪˈɡæn.tɪk]
žábry,gill [ɡɪl]
ženich,groom [ɡruːm]
kytarista,guitarist [ɡɪˈtɑː.rɪst]
hash,hash [hæʃ]
neaktivní,inactive [ɪnˈæk.tɪv]
kontrolovat,inspect [ɪnˈspekt]
vavřín,laurel [ˈlɒr.əl]
levicový,leftist [ˈlef.tɪst]
legitimita,legitimacy [ləˈdʒɪt.ə.mə.si]
ještěrka,lizard [ˈlɪz.əd]
maximalizovat,maximize [ˈmæk.sɪ.maɪz]
morálně,morally [ˈmɒr.əl.i]
organizátor,organizer [ˈɔː.ɡən.aɪ.zər]
paradox,paradox [ˈpær.ə.dɒks]
pokojně,peacefully [ˈpiːs.fəl.i]
periodické,periodic [ˌpɪə.riˈɒd.ɪk]
Pódium,podium [ˈpəʊ.di.əm]
puk,puck [pʌk]
znovu zvážit,reconsider [ˌriː.kənˈsɪd.ər]
refrén,refrain [rɪˈfreɪn]
rum,rum [rʌm]
safari,safari [səˈfɑː.ri]
střelec,scorer [ˈskɔː.rər]
zřídka,seldom [ˈsel.dəm]
akcionář,shareholder [ˈʃeəˌhəʊl.dər]
Sis,sis [sɪs]
sója,soy [sɔɪ]
Squash,squash [skwɒʃ]
stacionární,stationary [ˈsteɪ.ʃən.ər.i]
pododdělení,subdivision [ˈsʌb.dɪˌvɪʒ.ən]
dehet,tar [tɑːr]
tarif,tariff [ˈtær.ɪf]
temporální,temporal [ˈtem.pər.əl]
sledovač,tracker [ˈtræk.ər]
turbína,turbine [ˈtɜː.baɪn]
nedostupné,unavailable [ˌʌn.əˈveɪ.lə.bəl]
všeobecně,universally [ˌjuː.nɪˈvɜː.səl.i]
nešťastný,unlucky [ʌnˈlʌk.i]
zvracení,vomiting [ˈvɒm.ɪ.tɪŋ]
správce,warden [ˈwɔː.dən]
Warp,warp [wɔːp]
whisky,whisky [ˈwɪs.ki]
lůno,womb [wuːm]
zrušit,abolish [əˈbɒl.ɪʃ]
vysokohorský,alpine [ˈæl.paɪn]
okolní,ambient [ˈæm.bi.ənt]
vodní,aquatic [əˈkwæt.ɪk]
argentinský,argentine [ˌɑː.dʒənˈtɪn.i.ən]
ASSERT,assert [əˈsɜːt]
ateista,atheist [ˈeɪ.θi.ɪst]
Gril,barbecue [ˈbɑː.bɪ.kjuː]
předem,beforehand [bɪˈfɔː.hænd]
bipolární,bipolar [ˌbaɪˈpəʊ.lər]
měchýř,bladder [ˈblæd.ər]
květ,blossom [ˈblɒs.əm]
karavana,caravan [ˈkær.ə.væn]
zpívat,chant [tʃɑːnt]
komprimovat,compress [kəmˈpres]
výpočetní,computational [kɒm.pjəˈteɪ.ʃən.əl]
pojmový,conceptual [kənˈsep.tʃu.əl]
vlhký,damp [dæmp]
debet,debit [ˈdeb.ɪt]
demolice,demolition [ˌdem.əˈlɪʃ.ən]
odlišit,differentiate [ˌdɪf.əˈren.ʃi.eɪt]
ztlumit,dim [dɪm]
osel,donkey [ˈdɒŋ.ki]
po proudu,downstream [ˌdaʊnˈstriːm]
náušnice,earring [ˈɪə.rɪŋ]
empirický,empirical [ɪmˈpɪr.ɪ.kəl]
zvětšit,enlarge [ɪnˈlɑːdʒ]
vadný,faulty [ˈfɒl.ti]
pec,furnace [ˈfɜː.nɪs]
pojistka,fuse [fjuːz]
povyk,fuss [fʌs]
vichřice,gale [ɡeɪl]
štědrost,generosity [ˌdʒen.əˈrɒs.ə.ti]
Lepek,gluten [ˈɡluː.tən]
gorila,gorilla [ɡəˈrɪl.ə]
těžká váha,heavyweight [ˈhev.i.weɪt]
humánní,humane [hjuːˈmeɪn]
způsobit,inflict [ɪnˈflɪkt]
zákonný,lawful [ˈlɔː.fəl]
zákonodárce,lawmaker [ˈlɔːˌmeɪ.kər]
volně,loosely [ˈluːs.li]
lotus,lotus [ˈləʊ.təs]
plášť,mantle [ˈmæn.təl]
maskot,mascot [ˈmæs.kɒt]
metabolický,metabolic [met.əˈbɒl.ɪk]
militantní,militant [ˈmɪl.ɪ.tənt]
nostalgie,nostalgia [nɒsˈtæl.dʒə]
Paddy,paddy [ˈpæd.i]
brožovaná vazba,paperback [ˈpeɪ.pə.bæk]
dláždit,pave [peɪv]
Pavilion,pavilion [pəˈvɪl.jən]
vyzdobit,perk [pɜːk]
ukazatel,pointer [ˈpɔɪn.tər]
předpokládat,presume [prɪˈzjuːm]
násilník,rapist [ˈreɪ.pɪst]
obdélníkový,rectangular [rekˈtæŋ.ɡjə.lər]
regulátor,regulator [ˈreɡ.jə.leɪ.tər]
sabotovat,sabotage [ˈsæb.ə.tɑːʒ]
sarkasmus,sarcasm [ˈsɑː.kæz.əm]
hledač,seeker [ˈsiː.kər]
holení,shaving [ˈʃeɪ.vɪŋ]
vypnutí,shutdown [ˈʃʌt.daʊn]
sic,sic [sɪk]
překonat,surpass [səˈpɑːs]
Tally,tally [ˈtæl.i]
zastrčit,tuck [tʌk]
jednomyslně,unanimously [juːˈnæn.ɪ.məs.li]
neporažený,undefeated [ˌʌn.dɪˈfiː.tɪd]
neznámé,unfamiliar [ʌn.fəˈmɪl.i.ər]
údolí,vale [veɪl]
obrovsky,vastly [ˈvɑːst.li]
hnus,vile [vaɪl]
násilně,violently [ˈvaɪə.lənt.li]
klín,wedge [wedʒ]
moudře,wisely [ˈwaɪz.li]
adaptivní,adaptive [əˈdæp.tɪv]
apartheid,apartheid [əˈpɑː.taɪt]
ay,ay [aɪ]
žok,bale [beɪl]
bobr,beaver [ˈbiː.vər]
chlubit se,boast [bəʊst]
volající,caller [ˈkɔː.lər]
dutina,cavity [ˈkæv.ə.ti]
Chap,chap [tʃæp]
hříbě,colt [kəʊlt]
soud,courthouse [ˈkɔːt.haʊs]
klika,crank [kræŋk]
látat,darn [dɑːn]
hnus,disgust [dɪsˈɡʌst]
rozpuštění,dissolution [ˌdɪs.əˈluː.ʃən]
rušení,disturbance [dɪˈstɜː.bəns]
příloha,enclosure [ɪnˈkləʊ.ʒər]
evangelický,evangelical [ˌiː.vænˈdʒel.ɪ.kəl]
přesahující,exceeding [ɪkˈsiːd]
vynikající,exquisite [ɪkˈskwɪz.ɪt]
faktické,factual [ˈfæk.tʃu.əl]
falešně,falsely [ˈfɒls.li]
hladomor,famine [ˈfæm.ɪn]
podvodný,fraudulent [ˈfrɔː.dʒə.lənt]
dálnice,freeway [ˈfriː.weɪ]
čerstvě,freshly [ˈfreʃ.li]
úřední list,gazette [ɡəˈzet]
Geek,geek [ɡiːk]
babička,granny [ˈɡræn.i]
handicap,handicap [ˈhæn.dɪ.kæp]
hold,homage [ˈhɒm.ɪdʒ]
nepřátelství,hostility [hɒsˈtɪl.ə.ti]
hymnus,hymn [hɪm]
hypotetický,hypothetical [ˌhaɪ.pəˈθet.ɪ.kəl]
informativní,informative [ɪnˈfɔː.mə.tɪv]
porušení,infringement [ɪnˈfrɪndʒ.mənt]
stáž,internship [ˈɪn.tɜːn.ʃɪp]
dráždit,irritate [ˈɪr.ɪ.teɪt]
jasmín,jasmine [ˈdʒæz.mɪn]
knokaut,knockout [ˈnɒk.aʊt]
lucerna,lantern [ˈlæn.tən]
prádlo,linen [ˈlɪn.ɪn]
Lookout,lookout [ˈlʊk.aʊt]
měsíční svit,moonlight [ˈmuːn.laɪt]
Moose,moose [muːs]
komár,mosquito [mɒsˈkiː.təʊ]
motel,motel [məʊˈtel]
dále,onwards [ˈɒn.wədz]
svržení,overthrow [ˌəʊ.vəˈθrəʊ]
paradigma,paradigm [ˈpær.ə.daɪm]
dlažba,pavement [ˈpeɪv.mənt]
výplata,payday [ˈpeɪ.deɪ]
trvalé,perpetual [pəˈpetʃ.u.əl]
fyziologie,physiology [ˌfɪz.iˈɒl.ə.dʒi]
holub,pigeon [ˈpɪdʒ.ən]
plošina,plateau [ˈplæt.əʊ]
PŘEDMĚT,precinct [ˈpriː.sɪŋkt]
Premiership,premiership [ˈprem.i.eə.ʃɪp]
proliferace,proliferation [prəˌlɪf.ərˈeɪ.ʃən]
stíhat,prosecute [ˈprɒs.ɪ.kjuːt]
pudink,pudding [ˈpʊd.ɪŋ]
lednička,refrigerator [rɪˈfrɪdʒ.ər.eɪ.tər]
regenerace,regeneration [rɪˌdʒen.ərˈeɪ.ʃən]
vzpomínka,remembrance [rɪˈmem.brəns]
připomínající,reminiscent [ˌrem.ɪˈnɪs.ənt]
odpor,resentment [rɪˈzent.mənt]
pryskyřice,resin [ˈrez.ɪn]
rotační,rotary [ˈrəʊ.tər.i]
rezavý,rusty [ˈrʌs.ti]
vzácný,scarce [skeəs]
simulátor,simulator [ˈsɪm.jə.leɪ.tər]
kluzký,slippery [ˈslɪp.ər.i]
podívaná,spectacle [ˈspek.tə.kəl]
STINT,stint [stɪnt]
sebevražedný,suicidal [ˌsuː.ɪˈsaɪ.dəl]
symposium,symposium [sɪmˈpəʊ.zi.əm]
přizpůsobit,tailor [ˈteɪ.lər]
vzrušující,thrilling [ˈθrɪl.ɪŋ]
trajektorie,trajectory [trəˈdʒek.tər.i]
neidentifikovaný,unidentified [ˌʌn.aɪˈden.tɪ.faɪd]
neklid,unrest [ʌnˈrest]
neviditelný,unseen [ʌnˈsiːn]
maximální,utmost [ˈʌt.məʊst]
číšník,waiter [ˈweɪ.tər]
unavený,weary [ˈwɪə.ri]
nastavitelný,adjustable [əˈdʒʌs.tə.bəl]
dospělost,adulthood [ˈæd.ʌlt.hʊd]
muka,agony [ˈæɡ.ə.ni]
astronaut,astronaut [ˈæs.trə.nɔːt]
dosáhnout,attain [əˈteɪn]
obsluha,attendant [əˈten.dənt]
pravost,authenticity [ˌɔː.θenˈtɪs.ə.ti]
zákulisí,backstage [bækˈsteɪdʒ]
narušení,binge [bɪndʒ]
blok,bloc [blɒk]
bourbon,bourbon [ˈbɜː.bən]
brutalita,brutality [bruːˈtæl.ə.ti]
počet,calculus [ˈkæl.kjə.ləs]
neopatrný,careless [ˈkeə.ləs]
kasta,caste [kɑːst]
sklep,cellar [ˈsel.ər]
intelektuální,cerebral [ˈser.ə.brəl]
veselý,cheerful [ˈtʃɪə.fəl]
Cinematic,cinematic [ˌsɪn.əˈmæt.ɪk]
vyvrcholení,climax [ˈklaɪ.mæks]
klipr,clipper [ˈklɪp.ər]
kokpit,cockpit [ˈkɒk.pɪt]
dvojtečka,colon [ˈkəʊ.lɒn]
společenství,communion [kəˈmjuː.njən]
konzul,consul [ˈkɒn.səl]
uchazeč,contender [kənˈten.dər]
karmínový,crimson [ˈkrɪm.zən]
kultivovat,cultivate [ˈkʌl.tɪ.veɪt]
kudrnatý,curly [ˈkɜː.li]
degradace,degradation [ˌdeɡ.rəˈdeɪ.ʃən]
smaragd,emerald [ˈem.ə.rəld]
rovnováha,equilibrium [ˌek.wɪˈlɪb.ri.əm]
zřejmě,evidently [ˈev.ɪ.dənt.li]
fascinovaný,fascinated [ˈfæs.ən.eɪ.tɪd]
plod,fetus [ˈfiː.təs]
bezchybný,flawless [ˈflɔː.ləs]
vnučka,granddaughter [ˈɡræn.dɔː.tər]
zdravý,hale [ˌheɪl ən ˈhɑː.ti]
tímto,hereby [ˌhɪəˈbaɪ]
vtipný,humorous [ˈhjuː.mə.rəs]
vzniknout,incur [ɪnˈkɜːr]
styk,intercourse [ˈɪn.tə.kɔːs]
zajímavě,interestingly [ˈɪn.tres.tɪŋ.li]
izolovat,isolate [ˈaɪ.sə.leɪt]
kobyla,mare [meər]
louka,meadow [ˈmed.əʊ]
motivovat,motivate [ˈməʊ.tɪ.veɪt]
kopeček,mound [maʊnd]
zablácený,muddy [ˈmʌd.i]
mystik,mystic [ˈmɪs.tɪk]
nominální,nominal [ˈnɒm.ɪ.nəl]
nařízení,ordinance [ˈɔː.dɪ.nəns]
farář,parson [ˈpɑː.sən]
se týká,pertain [pɜːˈteɪn]
strčit,poke [pəʊk]
úměrný,proportional [prəˈpɔː.ʃən.əl]
prosperující,prosperous [ˈprɒs.pər.əs]
lom,quarry [ˈkwɒr.i]
doporučení,referral [rɪˈfɜː.rəl]
neklidný,restless [ˈrest.ləs]
míza,sap [sæp]
sarkastický,sarcastic [sɑːˈkæs.tɪk]
vědecký,scholarly [ˈskɒl.ə.li]
segregace,segregation [ˌseɡ.rɪˈɡeɪ.ʃən]
zlověstný,sinister [ˈsɪn.ɪ.stər]
úžina,strait [streɪt]
testosteron,testosterone [ˌtesˈtɒs.tər.əʊn]
větrání,ventilation [ˌven.tɪˈleɪ.ʃən]
tkadlec,weaver [ˈwiː.vər]
příze,yarn [jɑːn]
dodržovat,abide [əˈbaɪd]
akumulace,accumulation [əˌkjuː.mjəˈleɪ.ʃən]
obdiv,admiration [ˌæd.mɪˈreɪ.ʃən]
útočník,attacker [əˈtæk.ər]
autoritářský,authoritarian [ˌɔː.θɒr.ɪˈteə.ri.ən]
využít,avail [əˈveɪl]
banket,banquet [ˈbæŋ.kwɪt]
Barker,barker [ˈbɑː.kər]
fakturaci,billing [ˈbɪl.ɪŋ]
kořist,booty [ˈbuː.ti]
statečnost,bravery [ˈbreɪ.vər.i]
Brit,brit [brɪt]
brutálně,brutally [ˈbruː.təl.i]
fanoušek,buff [bʌf]
komorník,chamberlain [ˈtʃeɪm.bəl.ɪn]
dráp,claw [klɔː]
kompatibilita,compatibility [kəmˌpæt.əˈbɪl.ə.ti]
podmíněné,conditional [kənˈdɪʃ.ən.əl]
Gratulujte,congratulate [kənˈɡrætʃ.ə.leɪt]
kůra,cortex [ˈkɔː.teks]
odvážný,courageous [kəˈreɪ.dʒəs]
křížová výprava,crusade [kruːˈseɪd]
cynický,cynical [ˈsɪn.ɪ.kəl]
vyřadit,discard [dɪˈskɑːd]
narušit,disrupt [dɪsˈrʌpt]
duplikát,duplicate [ˈdʒuː.plɪ.keɪt]
dynamit,dynamite [ˈdaɪ.nə.maɪt]
hospodárný,economical [ˌiː.kəˈnɒm.ɪ.kəl]
elastický,elastic [iˈlæs.tɪk]
zmocnit,empower [ɪmˈpaʊər]
expozice,exposition [ˌek.spəˈzɪʃ.ən]
fetiš,fetish [ˈfet.ɪʃ]
načechraný,fluffy [ˈflʌf.i]
Gadget,gadget [ˈɡædʒ.ɪt]
oděv,garment [ˈɡɑː.mənt]
úsměv,grin [ɡrɪn]
halda,heap [hiːp]
hučení,hum [hʌm]
pokora,humility [hjuːˈmɪl.ə.ti]
obžaloba,impeachment [ɪmˈpiːtʃ.mənt]
inherentně,inherently [ɪnˈher.ənt.li]
vynálezce,inventor [ɪnˈven.tər]
leopard,leopard [ˈlep.əd]
knihovník,librarian [laɪˈbreə.ri.ən]
řezivo,lumber [ˈlʌm.bər]
paní,madam [ˈmæd.əm]
manželský,marital [ˈmær.ɪ.təl]
zástup,multitude [ˈmʌl.tɪ.tʃuːd]
múza,muse [mjuːz]
chůva,nanny [ˈnæn.i]
devatenáct,nineteen [ˌnaɪnˈtiːn]
bradavka,nipple [ˈnɪp.l̩]
jádro,nucleus [ˈnjuː.kli.əs]
orbitální,orbital [ˈɔː.bɪ.təl]
organismus,organism [ˈɔː.ɡən.ɪ.zəm]
odchozí,outgoing [ˌaʊtˈɡəʊ.ɪŋ]
Oprava,overhaul [əʊ.vəˈhɔːl]
patriotismus,patriotism [ˈpæt.ri.ə.tɪ.zəm]
pravidelně,periodically [ˌpɪə.riˈɒd.ɪ.kəl.i]
instalatérství,plumbing [ˈplʌm.ɪŋ]
mák,poppy [ˈpɒp.i]
opatření,precaution [prɪˈkɔː.ʃən]
připravenost,readiness [ˈred.i.nəs]
redundantní,redundant [rɪˈdʌn.dənt]
podobnost,resemblance [rɪˈzem.bləns]
kázání,sermon [ˈsɜː.mən]
štíhlý,slender [ˈslen.dər]
nedbalý,sloppy [ˈslɒp.i]
společenské,societal [səˈsaɪ.ə.təl]
specifikace,spec [spek]
houba,sponge [spʌndʒ]
zelenáč,sucker [ˈsʌk.ər]
nadřazenost,superiority [suːˌpɪə.riˈɒr.ə.ti]
dohlížet,supervise [ˈsuː.pə.vaɪz]
vtipálek,tease [tiːz]
titánský,titanic [taɪˈtæn.ɪk]
vysílač,transmitter [trænzˈmɪt.ər]
tajfun,typhoon [taɪˈfuːn]
neskutečný,unreal [ʌnˈrɪəl]
očkování,vaccination [ˌvæk.sɪˈneɪ.ʃən]
vibrace,vibration [vaɪˈbreɪ.ʃən]
válečný,wartime [ˈwɔː.taɪm]
břišní,abdominal [æbˈdɒm.ɪ.nəl]
vysílání,airing [ˈeə.rɪŋ]
hlasatel,announcer [əˈnaʊn.sər]
Baba,baba [ˈbæb.ə]
pozadí,backdrop [ˈbæk.drɒp]
Beau,beau [bəʊ]
zatemnění,blackout [ˈblæk.aʊt]
blufovat,bluff [blʌf]
kartel,cartel [kɑːˈtel]
katastrofální,catastrophic [ˌkæt.əˈstrɒf.ɪk]
