hřeben,comb [kəʊm]
pozdní snídaně,brunch [brʌntʃ]
měnič,changer [ˈɡeɪm ˌtʃeɪn.dʒər]
kaštan,chestnut [ˈtʃes.nʌt]
vyčištění,cleanup [ˈklinˌʌp]
stručný,concise [kənˈsaɪs]
vězení,confinement [kənˈfaɪn.mənt]
kontrakce,contraction [kənˈtræk.ʃən]
konvergence,convergence [kənˈvɜː.dʒəns]
dedukce,deduction [dɪˈdʌk.ʃən]
opovrženíhodný,despicable [dɪˈspɪk.ə.bəl]
oddělení,detachment [dɪˈtætʃ.mənt]
zažívací,digestive [daɪˈdʒes.tɪv]
Zřeknutí se odpovědnosti,disclaimer [dɪˈskleɪ.mər]
odpojit,disconnect [ˌdɪs.kəˈnekt]
diskriminační,discriminatory [dɪˈskrɪm.ɪ.nə.tər.i]
rušivý,disruptive [dɪsˈrʌp.tɪv]
nekonečně,endlessly [ˈend.ləs.li]
epilepsie,epilepsy [ˈep.ɪ.lep.si]
odhad,estimation [ˌes.tɪˈmeɪ.ʃən]
Ethanol,ethanol [ˈeθ.ə.nɒl]
Výkop,excavation [ˌeks.kəˈveɪ.ʃən]
svítilna,flashlight [ˈflæʃ.laɪt]
lichotivý,flattering [ˈflæt.ər.ɪŋ]
násilně,forcibly [ˈfɔː.sə.bli]
girlanda,garland [ˈɡɑː.lənd]
grál,grail [ˈɡreɪl]
grafický,graphical [ˈɡræf·ɪ·kəl]
Svatost,holiness [ˈhəʊ.li.nəs]
děsivý,horrify [ˈhɒr.ɪ.faɪ]
ponížit,humiliate [hjuːˈmɪl.i.eɪt]
ledový,iced [aɪst]
ilustrátor,illustrator [ˈɪl.ə.streɪ.tər]
nerovnováha,imbalance [ˌɪmˈbæl.əns]
neefektivní,inefficient [ˌɪn.ɪˈfɪʃ.ənt]
instrumentace,instrumentation [ˌɪn.strə.menˈteɪ.ʃən]
zintenzivnit,intensify [ɪnˈten.sɪ.faɪ]
intolerance,intolerance [ɪnˈtɒl.ər.əns]
kečup,ketchup [ˈketʃ.ʌp]
leukémie,leukemia [luːˈkiː.mi.ə]
linie,lineage [ˈlɪn.i.ɪdʒ]
litr,liter [ˈliː.tər]
mučedník,martyr [ˈmɑː.tər]
masturbace,masturbation [ˌmæs.təˈbeɪ.ʃən]
zmírnění,mitigation [ˌmɪt.ɪˈɡeɪ.ʃən]
dálnice,motorway [ˈməʊ.tə.weɪ]
obscénní,obscene [əbˈsiːn]
Obyvatel,occupant [ˈɒk.jə.pənt]
chobotnice,octopus [ˈɒk.tə.pəs]
Kupředu,onward [ˈɒn.wəd]
opium,opium [ˈəʊ.pi.əm]
ovarian,ovarian [əʊˈveə.ri.ən]
klovat,peck [pek]
trestní,penal [ˈpiː.nəl]
okvětní lístek,petal [ˈpet.əl]
prkno,plank [plæŋk]
situace,plight [plaɪt]
předsedat,preside [prɪˈzaɪd]
tajný,privy [ˈprɪv.i]
pohon,propulsion [prəˈpʌl.ʃən]
vor,raft [rɑːft]
radujte se,rejoice [rɪˈdʒɔɪs]
relikvie,relic [ˈrel.ɪk]
sandál,sandal [ˈsæn.dəl]
had,serpent [ˈsɜː.pənt]
sezam,sesame [ˈses.ə.mi]
siréna,siren [ˈsaɪə.rən]
spáč,sleeper [ˈsliː.pər]
nátěr,smear [smɪər]
zasněžený,snowy [ˈsnəʊ.i]
spektrální,spectral [ˈspek.trəl]
stabilizovat,stabilize [ˈsteɪ.bəl.aɪz]
státník,statesman [ˈsteɪts.mən]
smrad,stink [stɪŋk]
bouřlivý,stormy [ˈstɔː.mi]
podvýbor,subcommittee [ˈsʌb.kəˌmɪt.i]
stačit,suffice [səˈfaɪs]
swat,swat [swɒt]
svině,swine [swaɪn]
symbolismus,symbolism [ˈsɪm.bəl.ɪ.zəm]
spleť,tangle [ˈtæŋ.ɡəl]
podsvětí,underworld [ˈʌn.də.wɜːld]
vertikálně,vertically [ˈvɜː.tɪ.kəl.i]
energické,vigorous [ˈvɪɡ.ər.əs]
nesprávně,wrongly [ˈrɒŋ.li]
alkoholismus,alcoholism [ˈæl.kə.hɒl.ɪ.zəm]
zesilovač,amplifier [ˈæm.plɪ.faɪ.ər]
ohromující,astounding [əˈstaʊn.dɪŋ]
ateismus,atheism [ˈeɪ.θi.ɪ.zəm]
slyšitelné,audible [ˈɔː.də.bəl]
avokádo,avocado [ˌæv.əˈkɑː.dəʊ]
vana,bathtub [ˈbɑːθ.tʌb]
příjemce,beneficiary [ˌben.əˈfɪʃ.ər.i]
suchar,biscuit [ˈbɪs.kɪt]
Blatant,blatant [ˈbleɪ.tənt]
dobrodiní,boon [buːn]
spratek,brat [bræt]
lůžko,bunk [bʌŋk]
upřímný,candid [ˈkæn.dɪd]
domovník,caretaker [ˈkeəˌteɪ.kər]
krční,cervical [ˈsɜː.vɪ.kəl]
svorka,clamp [klæmp]
konkurenceschopnost,competitiveness [kəmˈpet.ɪ.tɪv.nəs]
konfederace,confederation [kənˌfed.əˈreɪ.ʃən]
Důvěrnost,confidentiality [ˌkɒn.fɪ.den.ʃiˈæl.ə.ti]
rozpor,contradiction [ˌkɒn.trəˈdɪk.ʃən]
korunovace,coronation [ˌkɒr.əˈneɪ.ʃən]
sušenka,cracker [ˈkræk.ər]
mazaný,cunning [ˈkʌn.ɪŋ]
zobrazení,depiction [dɪˈpɪk.ʃən]
vyčerpat,deplete [dɪˈpliːt]
diabetik,diabetic [ˌdaɪ.əˈbet.ɪk]
digitálně,digitally [ˈdɪdʒ.ɪ.təl.i]
svár,discord [ˈdɪs.kɔːd]
božství,divinity [dɪˈvɪn.ə.ti]
hřbetní,dorsal [ˈdɔː.səl]
trvanlivost,durability [ˌdʒʊə.rəˈbɪl.ə.ti]
císařovna,empress [ˈem.prəs]
zapsat,enroll [ɪnˈrəʊl]
konferenciér,entertainer [en.təˈteɪ.nər]
svěřit,entrust [ɪnˈtrʌst]
osudovost,fatality [fəˈtæl.ə.ti]
veselí,festivity [fesˈtɪv.ə.ti]
po dechu,gasp [ɡɑːsp]
genitální,genital [ˈdʒen.ɪ.təl]
gong,gong [ɡɒŋ]
mastný,greasy [ˈɡriː.si]
truchlit,grieve [ɡriːv]
hamburger,hamburger [ˈhæmˌbɜː.ɡər]
dbát,heed [hiːd]
ošklivé,hideous [ˈhɪd.i.əs]
obruč,hoop [huːp]
implicitní,implicit [ɪmˈplɪs.ɪt]
vstup,inlet [ˈɪn.let]
necitlivý,insensitive [ɪnˈsen.sɪ.tɪv]
ostrovan,islander [ˈaɪ.lən.dər]
Keystone,keystone [ˈkiː.stəʊn]
pletení,knitting [ˈnɪt.ɪŋ]
Lieu,lieu [ljuː]
likvidita,liquidity [lɪˈkwɪd.ə.ti]
jezero,loch [lɒk]
Krém,lotion [ˈləʊ.ʃən]
markýz,marquis [ˈmɑː.kwɪs]
chaos,mayhem [ˈmeɪ.hem]
mylně,mistakenly [mɪˈsteɪ.kən.li]
plíseň,mould [məʊld]
nostalgický,nostalgic [nɒsˈtæl.dʒɪk]
represivní,oppressive [əˈpres.ɪv]
patronát,patronage [ˈpæt.rə.nɪdʒ]
vrchol,pinnacle [ˈpɪn.ə.kəl]
Pong,pong [pɒŋ]
prosperovat,prosper [ˈprɒs.pər]
psi,psi [psaɪ]
zemětřesení,quake [kweɪk]
kvalitativní,qualitative [ˈkwɒl.ɪ.tə.tɪv]
závodník,racer [ˈreɪ.sər]
radiální,radial [ˈreɪ.di.əl]
shrnout,recap [ˈriː.kæp]
rozpoznatelný,recognizable [ˈrek.əɡ.naɪ.zə.bəl]
průzkum,reconnaissance [rɪˈkɒn.ɪ.səns]
regent,regent [ˈriː.dʒənt]
neochotně,reluctantly [rɪˈlʌk.tənt.li]
ztvárnění,rendition [renˈdɪʃ.ən]
Silnice,roadside [ˈrəʊd.saɪd]
vědecky,scientifically [ˌsaɪ.ənˈtɪf.ɪ.kəl.i]
Scramble,scramble [ˈskræm.bəl]
sekretariát,secretariat [ˌsek.rəˈteə.ri.ət]
šít,sew [səʊ]
nejistý,shaky [ˈʃeɪ.ki]
falešný,sham [ʃæm]
nedostatek,shortcoming [ˈʃɔːtˌkʌm.ɪŋ]
vrah,slayer [ˈsleɪ.ər]
uklidnit,soothe [suːð]
potěr,spawn [spɔːn]
Stalker,stalker [ˈstɔː.kər]
postava,stature [ˈstætʃ.ər]
stevard,steward [ˈstjuː.əd]
tlustý,stout [staʊt]
strategicky,strategically [strəˈtiː.dʒɪ.kəl.i]
striptérka,stripper [ˈstrɪp.ər]
Synagoga,synagogue [ˈsɪn.ə.ɡɒɡ]
orientační,tentative [ˈten.tə.tɪv]
aktuální,topical [ˈtɒp.ɪ.kəl]
nepříjemný,uneasy [ʌnˈiː.zi]
rozvinout,unfold [ʌnˈfəʊld]
rozptyl,variance [ˈveə.ri.əns]
Wally,wally [ˈwɒl.i]
osvobodit se,acquit [əˈkwɪt]
admiralita,admiralty [ˈæd.mər.əl.ti]
uměle,artificially [ˌɑː.tɪˈfɪʃ.əl.i]
kotviště,berth [bɜːθ]
vydírání,blackmail [ˈblæk.meɪl]
slepota,blindness [ˈblaɪnd.nəs]
zářivě,brightly [ˈbraɪt.li]
vloupání,burglary [ˈbɜː.ɡlər.i]
jídelna,cafeteria [ˌkæf.əˈtɪə.ri.ə]
nemotorný,clumsy [ˈklʌm.zi]
dojíždějící,commuter [kəˈmjuː.tər]
Pohotovostní,contingency [kənˈtɪn.dʒən.si]
skříň,cupboard [ˈkʌb.əd]
kaplan,curate [ˈkjʊə.rət]
Daft,daft [dɑːft]
deprivace,deprivation [ˌdep.rɪˈveɪ.ʃən]
diskvalifikovat,disqualify [dɪˈskwɒl.ɪ.faɪ]
řádně,duly [ˈdʒuː.li]
soumrak,dusk [dʌsk]
kouzla,enchant [ɪnˈtʃɑːnt]
životní prostředí,environmentally [ɪnˌvaɪ.rəˈmen.təl.i]
episkopální,episcopal [ɪˈpɪs.kə.pəl]
eskalovat,escalate [ˈes.kə.leɪt]
Excelence,excellency [ˈek.səl.ən.si]
proveditelnost,feasibility [ˌfiː.zəˈbɪl.ə.ti]
federálně,federally [ˈfed.ər.əl.i]
šílenství,frenzy [ˈfren.zi]
splnění,fulfillment [fʊlˈfɪl.mənt]
kmotr,godfather [ˈɡɒdˌfɑː.ðər]
hospitalizovat,hospitalize [ˈhɒs.pɪ.təl.aɪz]
neúmyslně,inadvertently [ˌɪn.ədˈvɜː.tənt.li]
lhostejný,indifferent [ɪnˈdɪf.ər.ənt]
naléhání,insistence [ɪnˈsɪs.təns]
vždy,invariably [ɪnˈveə.ri.ə.bli]
neporazitelný,invincible [ɪnˈvɪn.sə.bəl]
jubileum,jubilee [ˈdʒuː.bɪl.iː]
kinetický,kinetic [kɪˈnet.ɪk]
Lam,lam [læm]
Lash,lash [læʃ]
levandule,lavender [ˈlæv.ɪn.dər]
limonáda,lemonade [ˌlem.əˈneɪd]
mánie,mania [ˈmeɪ.ni.ə]
lékařsky,medically [ˈmed.ɪ.kəl.i]
neutron,neutron [ˈnjuː.trɒn]
řádné,orderly [ˈɔː.dəl.i]
začátek,outset [ˈaʊt.set]
paralyzovat,paralyze [ˈpær.əl.aɪz]
Parry,parry [ˈpær.i]
patio,patio [ˈpæt.i.əʊ]
páv,peacock [ˈpiː.kɒk]
Pow,pow [paʊ]
Powerhouse,powerhouse [ˈpaʊə.haʊs]
předchůdce,precursor [ˌpriːˈkɜː.sər]
vhodnější,preferable [ˈpref.ər.ə.bəl]
přípravek,preparatory [prɪˈpær.ə.tər.i]
hranol,prism [ˈprɪz.əm]
proklamace,proclamation [ˌprɒk.ləˈmeɪ.ʃən]
navrhovatel,proponent [prəˈpəʊ.nənt]
provokativní,provocative [prəˈvɒk.ə.tɪv]
záměrně,purposely [ˈpɜː.pəs.li]
dotazník,questionnaire [ˌkwes.tʃəˈneər]
kultivovat,reclaim [rɪˈkleɪm]
přestavba,redevelopment [ˌriː.dɪˈvel.əp.mənt]
reflex,reflex [ˈriː.fleks]
přemístit,relocate [ˌriː.ləʊˈkeɪt]
odvetu,rematch [ˈriː.mætʃ]
Renal,renal [ˈriː.nəl]
splácení,repayment [rɪˈpeɪ.mənt]
hádanka,riddle [ˈrɪd.əl]
plotice,roach [rəʊtʃ]
jikry,roe [rəʊ]
suť,rubble [ˈrʌb.əl]
safír,sapphire [ˈsæf.aɪər]
šroubování,screwing [skruː]
šev,seam [siːm]
sekce,sectional [ˈsek.ʃən.əl]
stoupat,soar [sɔːr]
rozpustný,soluble [ˈsɒl.jə.bəl]
rozpouštědlo,solvent [ˈsɒl.vənt]
chobotnice,squid [skwɪd]
solidní,sturdy [ˈstɜː.di]
roj,swarm [swɔːm]
tanker,tanker [ˈtæŋ.kər]
rozvrh,timetable [ˈtaɪmˌteɪ.bəl]
torpédo,torpedo [tɔːˈpiː.dəʊ]
vozík,trolley [ˈtrɒl.i]
trolling,trolling [trəʊ.lɪŋ]
vaginální,vaginal [vəˈdʒaɪ.nəl]
životaschopnost,viability [ˌvaɪ.əˈbɪl.ə.ti]
Teaket,wrought [rɔːt]
ročenka,yearbook [ˈjɪə.bʊk]
opat,abbot [ˈæb.ət]
únos,abduction [æbˈdʌk.ʃən]
předchůdce,ancestral [ænˈses.trəl]
starověk,antiquity [ænˈtɪk.wə.ti]
apokalyptický,apocalyptic [əˌpɒk.əˈlɪp.tɪk]
posouzení,appraisal [əˈpreɪ.zəl]
Aqua,aqua [ˈæk.wə]
osika,aspen [ˈæs.pən]
autistický,autistic [ɔːˈtɪs.tɪk]
nosič,bearer [ˈbeə.rər]
bezútěšný,bleak [bliːk]
mixér,blender [ˈblen.dər]
falešný,bogus [ˈbəʊ.ɡəs]
vzkvétající,booming [ˈbuː.mɪŋ]
pohmoždit,bruise [bruːz]
kaplan,chaplain [ˈtʃæp.lɪn]
chlór,chlorine [ˈklɔː.riːn]
Chow,chow [tʃaʊ]
kulaťoučký,chubby [ˈtʃʌb.i]
Clement,clement [ˈklem.ənt]
koluze,collusion [kəˈluː.ʒən]
smluvní,contractual [kənˈtræk.tʃu.əl]
koroner,coroner [ˈkɒr.ə.nər]
opravné,correctional [kəˈrek.ʃən.əl]
krémová,creamy [ˈkriː.mi]
zhoršení,deterioration [dɪˌtɪə.ri.əˈreɪ.ʃən]
nevíra,disbelief [ˌdɪs.bɪˈliːf]
diskrétní,discreet [dɪˈskriːt]
Dizzy,dizzy [ˈdɪz.i]
duet,duet [dʒuˈet]
expresivní,expressive [ɪkˈspres.ɪv]
housle,fiddle [ˈfɪd.əl]
opevnit,fortify [ˈfɔː.tɪ.faɪ]
zevšeobecnit,generalize [ˈdʒen.ər.əl.aɪz]
lesklý,glossy [ˈɡlɒs.i]
štěrk,grit [ɡrɪt]
hektar,hectare [ˈhek.teər]
bezdomovectví,homelessness [ˈhəʊm.ləs.nəs]
Hrozný,horrendous [həˈren.dəs]
ubytovna,hostel [ˈhɒs.təl]
pronásledovat,hound [haʊnd]
nelegitimní,illegitimate [ˌɪl.ɪˈdʒɪt.ə.mət]
nedovolený,illicit [ɪˈlɪs.ɪt]
neschopnost,incompetence [ɪnˈkɒm.pɪ.təns]
nespavost,insomnia [ɪnˈsɒm.ni.ə]
zachycení,interception [ˌɪn.təˈsep.ʃən]
laguna,lagoon [ləˈɡuːn]
léze,lesion [ˈliː.ʒən]
kulhat,limp [lɪmp]
prodlévat,linger [ˈlɪŋ.ɡər]
logicky,logically [ˈlɒdʒ.ɪ.kəl.i]
blázen,lunatic [ˈluː.nə.tɪk]
lyrický,lyrical [ˈlɪr.ɪ.kəl]
manifestace,manifestation [ˌmæn.ɪ.fesˈteɪ.ʃən]
Mead,mead [miːd]
migrovat,migrate [maɪˈɡreɪt]
mírně,mildly [ˈmaɪld.li]
zázračný,miraculous [mɪˈræk.jə.ləs]
sténání,moaning [məʊn]
světský,mundane [mʌnˈdeɪn]
ne,nay [neɪ]
Stručně řečeno,nutshell [ˈnʌt.ʃel]
posedlí,obsessive [əbˈses.ɪv]
přes palubu,overboard [ˈəʊ.və.bɔːd]
přívěšek,pendant [ˈpen.dənt]
Petite,petite [pəˈtiːt]
pasák,pimp [pɪmp]
viset,poise [pɔɪz]
zadní,posterior [pɒsˈtɪə.ri.ər]
vak,pouch [paʊtʃ]
Znalost,proficiency [prəˈfɪʃ.ən.si]
protestor,protestor [prəˈtes.tər]
psychotický,psychotic [saɪˈkɒt.ɪk]
sestup,relegation [ˌrel.ɪˈɡeɪ.ʃən]
repertoár,repertoire [ˈrep.ə.twɑːr]
úložiště,repository [rɪˈpɒz.ɪ.tər.i]
rachot,rumble [ˈrʌm.bəl]
Saloon,saloon [səˈluːn]
chatrč,shack [ʃæk]
hříšník,sinner [ˈsɪn.ər]
zplodit,sire [saɪər]
zatuchlý,stale [steɪl]
sterilní,sterile [ˈster.aɪl]
krok,stride [straɪd]
přísné,stringent [ˈstrɪn.dʒənt]
Torrent,torrent [ˈtɒr.ənt]
praktikant,trainee [ˌtreɪˈniː]
koryto,trough [trɒf]
bříško,tummy [ˈtʌm.i]
nespravedlivý,unjust [ʌnˈdʒʌst]
vis,vis [ˌviːz.əˈviː]
vsadit,wager [ˈweɪ.dʒər]
rána,whack [wæk]
urychlovač,accelerator [əkˈsel.ə.reɪ.tər]
akryl,acrylic [əˈkrɪl.ɪk]
anexe,annexation [ˌæn.ekˈseɪ.ʃən]
výstup,ascent [əˈsent]
balada,ballad [ˈbæl.əd]
bigotnost,bigotry [ˈbɪɡ.ə.tri]
knihkupectví,bookstore [ˈbʊk.stɔːr]
koště,broom [bruːm]
hovado,brute [bruːt]
maskovat,camouflage [ˈkæm.ə.flɑːʒ]
především,chiefly [ˈtʃiːf.li]
porod,childbirth [ˈtʃaɪld.bɜːθ]
kompatibilní,compliant [kəmˈplaɪ.ənt]
konzervatismus,conservatism [kənˈsɜː.və.tɪ.zəm]
kontinuum,continuum [kənˈtɪn.ju.əm]
Corona,corona [kəˈrəʊ.nə]
zbabělý,cowardly [ˈkaʊ.əd.li]
obchodní zastoupení,dealership [ˈdiː.lə.ʃɪp]
vzdorovat,defy [dɪˈfaɪ]
Označte,denote [dɪˈnəʊt]
hustě,densely [ˈdens.li]
odpočívat,devoid [dɪˈvɔɪd]
disparita,disparity [dɪˈspær.ə.ti]
diva,diva [ˈdiː.və]
jedlík,eater [ˈiː.tər]
elegance,elegance [ˈel.ə.ɡəns]
šifrování,encrypt [ɪnˈkrɪpt]
mimořádně,extraordinarily [ɪkˈstrɔː.dɪn.ər.əl.i]
fasáda,facade [fəˈsɑːd]
statek,farmhouse [ˈfɑːm.haʊs]
hnojivo,fertilizer [ˈfɜː.tɪ.laɪ.zər]
plnivo,filler [ˈfɪl.ər]
blecha,flea [fliː]
obuv,footwear [ˈfʊt.weər]
dobrota,goody [ˈɡʊd.i]
kabelka,handbag [ˈhænd.bæɡ]
opar,haze [heɪz]
konopí,hemp [hemp]
Hitch,hitch [hɪtʃ]
inkarnace,incarnation [ˌɪn.kɑːˈneɪ.ʃən]
vniknutí,intrusion [ɪnˈtruː.ʒən]
inverzní,inverse [ɪnˈvɜːs]
invertovat,invert [ɪnˈvɜːt]
podráždění,irritation [ˌɪr.ɪˈteɪ.ʃən]
bohatý,lavish [ˈlæv.ɪʃ]
smíšený,miscellaneous [ˌmɪs.əlˈeɪ.ni.əs]
zavádějící,misguided [ˌmɪsˈɡaɪ.dɪd]
zítřek,morrow [ˈmɒr.əʊ]
shromáždit,muster [ˈmʌs.tər]
nylon,nylon [ˈnaɪ.lɒn]
přepínat,override [ˌəʊ.vəˈraɪd]
ozón,ozone [ˈəʊ.zəʊn]
paranoia,paranoia [ˌpær.əˈnɔɪ.ə]
pronásledovat,persecute [ˈpɜː.sɪ.kjuːt]
fosfát,phosphate [ˈfɒs.feɪt]
fyzik,physicist [ˈfɪz.ɪ.sɪst]
množství,plurality [plʊəˈræl.ə.ti]
prehistorický,prehistoric [ˌpriː.hɪˈstɒr.ɪk]
zájmeno,pronoun [ˈprəʊ.naʊn]
proton,proton [ˈprəʊ.tɒn]
psychika,psyche [ˈsaɪ.ki]
redesign,redesign [ˌriː.dɪˈzaɪn]
neochota,reluctance [rɪˈlʌk.təns]
lanoví,rigging [ˈrɪɡ.ɪŋ]
rotor,rotor [ˈrəʊ.tər]
usazenina,sediment [ˈsed.ɪ.mənt]
zdánlivý,seeming [ˈsiː.mɪŋ]
samota,solitude [ˈsɒl.ɪ.tʃuːd]
pevnost,stronghold [ˈstrɒŋ.həʊld]
teoretik,theorist [ˈθɪə.rɪst]
tam,therein [ˌðeəˈrɪn]
trojúhelníkový,triangular [traɪˈæŋ.ɡjə.lər]
voják,trooper [ˈtruː.pər]
pravdivý,truthful [ˈtruːθ.fəl]
věžička,turret [ˈtʌr.ət]
všudypřítomný,ubiquitous [juːˈbɪk.wɪ.təs]
neuvěřitelně,unbelievably [ˌʌn.bɪˈliː.və.bli]
nekonvenční,unconventional [ˌʌn.kənˈven.ʃən.əl]
zbytečně,unnecessarily [ʌnˌnes.əˈser.əl.i]
nepovšimnutý,unnoticed [ʌnˈnəʊ.tɪst]
nedotčený,untouched [ʌnˈtʌtʃt]
vizionář,visionary [ˈvɪʒ.ən.ri]
čarodějnictví,witchcraft [ˈwɪtʃ.krɑːft]
cizoložství,adultery [əˈdʌl.tər.i]
agilní,agile [ˈædʒ.aɪl]
anonymně,anonymously [əˈnɒn.ɪ.məs.li]
přísnost,austerity [ɔːˈster.ə.ti]
strašně,awfully [ˈɔː.fəl.i]
CAD,cad [kæd]
kandidatura,candidacy [ˈkæn.dɪ.də.si]
Clubhouse,clubhouse [ˈklʌb.haʊs]
hrubý,coarse [kɔːs]
Collegiate,collegiate [kəˈliː.dʒi.ət]
všední,commonplace [ˈkɒm.ən.pleɪs]
sebevědomě,confidently [ˈkɒn.fɪ.dənt.li]
omezení,constrain [kənˈstreɪn]
rozjímat,contemplate [ˈkɒn.təm.pleɪt]
konvertor,converter [kənˈvɜː.tər]
coop,coop [kuːp]
koronární,coronary [ˈkɒr.ən.ər.i]
podvodník,crook [krʊk]
okurka,cucumber [ˈkjuː.kʌm.bər]
košíček,cupcake [ˈkʌp.keɪk]
ředitelství,directorate [daɪˈrek.tər.ət]
spící,dormant [ˈdɔː.mənt]
emulovat,emulate [ˈem.jə.leɪt]
zahrnovat,encompass [ɪnˈkʌm.pəs]
vybavit,endow [ɪnˈdaʊ]
dotaz,enquiry [ɪnˈkwaɪə.ri]
úniky,evasion [ɪˈveɪ.ʒən]
evergreen,evergreen [ˈev.ə.ɡriːn]
vystěhování,eviction [ɪˈvɪk.ʃən]
vyhoštění,expulsion [ɪkˈspʌl.ʃən]
špína,filth [fɪlθ]
listy,foliage [ˈfəʊ.li.ɪdʒ]
uzavření trhu,foreclosure [fɔːˈkləʊ.ʒər]
čtrnáct dní,fortnight [ˈfɔːt.naɪt]
Genie,genie [ˈdʒiː.ni]
zlomené srdce,heartbroken [ˈhɑːtˌbrəʊ.kən]
pomocník,helper [ˈhel.pər]
váhavý,hesitant [ˈhez.ɪ.tənt]
hypertenze,hypertension [ˌhaɪ.pəˈten.ʃən]
ponořit,immerse [ɪˈmɜːs]
nesmrtelnost,immortality [ˌɪm.ɔːˈtæl.ə.ti]
neurčitý,indefinite [ɪnˈdef.ɪ.nət]
bystrý,insightful [ˈɪn.saɪt.fəl]
bez ohledu na to,irrespective [ˌɪr.ɪˈspek.tɪv]
římsa,ledge [ledʒ]
slad,malt [mɒlt]
Moderátor,moderator [ˈmɒd.ər.eɪ.tər]
monstrózní,monstrous [ˈmɒn.strəs]
morfologie,morphology [mɔːˈfɒl.ə.dʒi]
nekrolog,obituary [əˈbɪtʃ.ʊə.ri]
vysvěcení,ordination [ˌɔː.dɪˈneɪ.ʃən]
parita,parity [ˈpær.ə.ti]
přesvědčivý,persuasive [pəˈsweɪ.sɪv]
lavice,pew [pjuː]
Polik,populous [ˈpɒp.jə.ləs]
poválečný,postwar [ˈpəʊst.wɔː]
Projektor,projector [prəˈdʒek.tər]
prominentně,prominently [ˈprɒm.ɪ.nənt.li]
obezřetný,prudent [ˈpruː.dənt]
ratifikovat,ratify [ˈræt.ɪ.faɪ]
rafinace,refining [rɪˈfaɪnɪŋ]
reliant,reliant [rɪˈlaɪ.ənt]
seriózní,reputable [ˈrep.jə.tə.bəl]
revolver,revolver [rɪˈvɒl.vər]
točit se,revolve [rɪˈvɒlv]
kluziště,rink [rɪŋk]
vlnění,ripple [ˈrɪp.əl]
lupič,robber [ˈrɒb.ər]
stráž,sentinel [ˈsen.tɪ.nəl]
slavnostní,solemn [ˈsɒl.əm]
prostorný,spacious [ˈspeɪ.ʃəs]
Sprung,sprung [sprʌŋ]
podstatné,substantive [səbˈstæn.tɪv]
nahrazení,substitution [ˌsʌb.stɪˈtʃuː.ʃən]
trup,torso [ˈtɔː.səʊ]
ohromně,tremendously [trɪˈmen.dəs.li]
pád,tumble [ˈtʌm.bəl]
nepublikovaný,unpublished [ʌnˈpʌb.lɪʃt]
nepravda,untrue [ʌnˈtruː]
ústně,verbally [ˈvɜː.bəl.i]
vitalita,vitality [vaɪˈtæl.ə.ti]
plakat,weep [wiːp]
čelní sklo,windshield [ˈwɪnd.ʃiːld]
zvěrokruh,zodiac [ˈzəʊ.di.æk]
opuštění,abandonment [əˈbæn.dən.mənt]
propast,abyss [əˈbɪs]
přistoupení,accession [əkˈseʃ.ən]
aritmetický,arithmetic [əˈrɪθ.mə.tɪk]
žhářství,arson [ˈɑː.sən]
astronom,astronomer [əˈstrɒn.ə.mər]
autoritativní,authoritative [ɔːˈθɒr.ɪ.tə.tɪv]
neplodný,barren [ˈbær.ən]
Bazální,basal [ˈbeɪ.səl]
Batsman,batsman [ˈbæt.smən]
Bender,bender [ˈben.dər]
Bourgeois,bourgeois [ˈbɔːʒ.wɑː]
podplácení,bribery [ˈbraɪ.bər.i]
bruneta,brunette [bruˈnet]
chronologický,chronological [ˌkrɒn.əˈlɒdʒ.ɪ.kəl]
štěpení,cleavage [ˈkliː.vɪdʒ]
kohorta,cohort [ˈkəʊ.hɔːt]
přikázání,commandment [kəˈmɑːnd.mənt]
kondenzovat,condense [kənˈdens]
svolat,convene [kənˈviːn]
hýčkat,cuddle [ˈkʌd.əl]
viník,culprit [ˈkʌl.prɪt]
zastrašit,daunt [dɔːnt]
Demos,demos [ˈdem.əʊ]
odchylka,deviation [ˌdiː.viˈeɪ.ʃən]
difúze,diffusion [dɪˈfjuː.ʒən]
dildo,dildo [ˈdɪl.dəʊ]
nedůvěra,distrust [dɪˈstrʌst]
podnikatel,entrepreneurial [ˌɒn.trə.prəˈnɜː.ri.əl]
éter,ether [ˈiː.θər]
etiketa,etiquette [ˈet.ɪ.ket]
extravagantní,extravagant [ɪkˈstræv.ə.ɡənt]
obeznámenost,familiarity [fəˌmɪl.iˈær.ə.ti]
blatník,fender [ˈfen.dər]
FETAL,fetal [ˈfiː.təl]
snoubenec,fiance [fiˈɒn.seɪ]
Osvobození,freeing [friː]
rokle,gorge [ɡɔːdʒ]
harfa,harp [hɑːp]
upřímné,heartfelt [ˈhɑːt.felt]
mikina,hoodie [ˈhʊd.i]
hospodyňka,housewife [ˈhaʊs.waɪf]
pokrytec,hypocrite [ˈhɪp.ə.krɪt]
začlenění,incorporation [ɪnˌkɔː.pərˈeɪ.ʃən]
pojistit,insure [ɪnˈʃɔːr]
rozradostněný,joyful [ˈdʒɔɪ.fəl]
výkop,kickoff [ˈkɪk.ɑːf]
lakros,lacrosse [ləˈkrɒs]
latex,latex [ˈleɪ.teks]
zbytek,leftover [ˈleftˌəʊ.vər]
Legalizace,legalization [ˌliː.ɡəl.aɪˈzeɪ.ʃən]
mamut,mammoth [ˈmæm.əθ]
motiv,motif [məʊˈtiːf]
