hřeben,comb [koʊm]
poutník,wanderer [ˈwɑːn.dɚ.ɚ]
inzerát,advert [ˈæd.vɝːt]
alias,alias [ˈeɪ.li.əs]
otravovat,annoy [əˈnɔɪ]
tleskat,applaud [əˈplɑːd]
křtít,baptize [bæpˈtaɪz]
otroctví,bondage [ˈbɑːn.dɪdʒ]
nuda,boredom [ˈbɔːr.dəm]
skvěle,brilliantly [ˈbrɪl.jənt.li]
pozdní snídaně,brunch [brʌntʃ]
měnič,changer [ˈɡeɪm ˌtʃeɪn.dʒɚ]
kaštan,chestnut [ˈtʃes.nʌt]
vyčištění,cleanup [ˈklinˌʌp]
stručný,concise [kənˈsaɪs]
vězení,confinement [kənˈfaɪn.mənt]
kontrakce,contraction [kənˈtræk.ʃən]
konvergence,convergence [kənˈvɝː.dʒəns]
dedukce,deduction [dɪˈdʌk.ʃən]
opovrženíhodný,despicable [dɪˈspɪk.ə.bəl]
oddělení,detachment [dɪˈtætʃ.mənt]
zažívací,digestive [daɪˈdʒes.tɪv]
Zřeknutí se odpovědnosti,disclaimer [dɪˈskleɪ.mɚ]
odpojit,disconnect [ˌdɪs.kəˈnekt]
diskriminační,discriminatory [dɪˈskrɪm.ə.nə.tɔːr.i]
rušivý,disruptive [dɪsˈrʌp.t̬ɪv]
nekonečně,endlessly [ˈend.ləs.li]
epilepsie,epilepsy [ˈep.ə.lep.si]
odhad,estimation [ˌes.təˈmeɪ.ʃən]
Ethanol,ethanol [ˈeθ.ə.nɑːl]
Výkop,excavation [ˌeks.kəˈveɪ.ʃən]
svítilna,flashlight [ˈflæʃ.laɪt]
lichotivý,flattering [ˈflæt̬.ɚ.ɪŋ]
násilně,forcibly [ˈfɔːr.sə.bli]
girlanda,garland [ˈɡɑːr.lənd]
grál,grail [ˈɡreɪl]
grafický,graphical [ˈɡræf·ɪ·kəl]
Svatost,holiness [ˈhoʊ.li.nəs]
děsivý,horrify [ˈhɔːr.ə.faɪ]
ponížit,humiliate [hjuːˈmɪl.i.eɪt]
ledový,iced [aɪst]
ilustrátor,illustrator [ˈɪl.ə.streɪ.t̬ɚ]
nerovnováha,imbalance [ˌɪmˈbæl.əns]
neefektivní,inefficient [ˌɪn.ɪˈfɪʃ.ənt]
instrumentace,instrumentation [ˌɪn.strə.menˈteɪ.ʃən]
zintenzivnit,intensify [ɪnˈten.sə.faɪ]
intolerance,intolerance [ɪnˈtɑː.lɚ.əns]
kečup,ketchup [ˈketʃ.ʌp]
leukémie,leukemia [luːˈkiː.mi.ə]
linie,lineage [ˈlɪn.i.ɪdʒ]
litr,liter [ˈliː.t̬ɚ]
mučedník,martyr [ˈmɑːr.t̬ɚ]
masturbace,masturbation [ˌmæs.tɚˈbeɪ.ʃən]
zmírnění,mitigation [ˌmɪt̬.əˈɡeɪ.ʃən]
dálnice,motorway [ˈmoʊ.t̬ɚ.weɪ]
obscénní,obscene [əbˈsiːn]
Obyvatel,occupant [ˈɑː.kjə.pənt]
chobotnice,octopus [ˈɑːk.tə.pəs]
Kupředu,onward [ˈɑːn.wɚd]
opium,opium [ˈoʊ.pi.əm]
ovarian,ovarian [oʊˈver.i.ən]
klovat,peck [pek]
trestní,penal [ˈpiː.nəl]
okvětní lístek,petal [ˈpet̬.əl]
prkno,plank [plæŋk]
situace,plight [plaɪt]
předsedat,preside [prɪˈzaɪd]
tajný,privy [ˈprɪv.i]
pohon,propulsion [prəˈpʌl.ʃən]
vor,raft [ræft]
radujte se,rejoice [rɪˈdʒɔɪs]
relikvie,relic [ˈrel.ɪk]
sandál,sandal [ˈsæn.dəl]
had,serpent [ˈsɝː.pənt]
sezam,sesame [ˈses.ə.mi]
siréna,siren [ˈsaɪr.ən]
spáč,sleeper [ˈsliː.pɚ]
nátěr,smear [smɪr]
zasněžený,snowy [ˈsnoʊ.i]
spektrální,spectral [ˈspek.trəl]
stabilizovat,stabilize [ˈsteɪ.bə.laɪz]
státník,statesman [ˈsteɪts.mən]
smrad,stink [stɪŋk]
bouřlivý,stormy [ˈstɔːr.mi]
podvýbor,subcommittee [ˈsʌb.kəˌmɪt.i]
stačit,suffice [səˈfaɪs]
swat,swat [swɑːt]
svině,swine [swaɪn]
symbolismus,symbolism [ˈsɪm.bəl.ɪ.zəm]
spleť,tangle [ˈtæŋ.ɡəl]
podsvětí,underworld [ˈʌn.dɚ.wɝːld]
vertikálně,vertically [ˈvɝː.t̬ə.kəl.i]
energické,vigorous [ˈvɪɡ.ɚ.əs]
nesprávně,wrongly [ˈrɑːŋ.li]
alkoholismus,alcoholism [ˈæl.kə.hɑː.lɪ.zəm]
zesilovač,amplifier [ˈæm.plə.faɪ.ɚ]
ohromující,astounding [əˈstaʊn.dɪŋ]
ateismus,atheism [ˈeɪ.θi.ɪ.zəm]
slyšitelné,audible [ˈɑː.də.bəl]
avokádo,avocado [ˌɑː.vəˈkɑː.doʊ]
vana,bathtub [ˈbæθ.tʌb]
příjemce,beneficiary [ˌben.əˈfɪʃ.i.er.i]
suchar,biscuit [ˈbɪs.kɪt]
Blatant,blatant [ˈbleɪ.tənt]
dobrodiní,boon [buːn]
spratek,brat [bræt]
lůžko,bunk [ˈbʌŋ.kəm]
upřímný,candid [ˈkæn.dɪd]
domovník,caretaker [ˈkerˌteɪ.kɚ]
krční,cervical [ˈsɝː.vɪ.kəl]
svorka,clamp [klæmp]
konkurenceschopnost,competitiveness [kəmˈpet̬.ə.t̬ɪv.nəs]
konfederace,confederation [kənˌfed.əˈreɪ.ʃən]
Důvěrnost,confidentiality [ˌkɑːn.fə.den.ʃiˈæl.ə.t̬i]
rozpor,contradiction [ˌkɑːn.trəˈdɪk.ʃən]
korunovace,coronation [ˌkɔːr.əˈneɪ.ʃən]
sušenka,cracker [ˈkræk.ɚ]
mazaný,cunning [ˈkʌn.ɪŋ]
zobrazení,depiction [dɪˈpɪk.ʃən]
vyčerpat,deplete [dɪˈpliːt]
diabetik,diabetic [ˌdaɪ.əˈbet̬.ɪk]
digitálně,digitally [ˈdɪdʒ.ə.t̬əl.i]
svár,discord [ˈdɪs.kɔːrd]
božství,divinity [dɪˈvɪn.ə.t̬i]
hřbetní,dorsal [ˈdɔːr.səl]
trvanlivost,durability [ˌdʊr.əˈbɪl.ə.t̬i]
císařovna,empress [ˈem.prəs]
zapsat,enroll [ɪnˈroʊl]
konferenciér,entertainer [en.t̬ɚˈteɪ.nɚ]
svěřit,entrust [ɪnˈtrʌst]
osudovost,fatality [fəˈtæl.ə.t̬i]
veselí,festivity [fesˈtɪv.ə.t̬i]
po dechu,gasp [ɡæsp]
genitální,genital [ˈdʒen.ə.t̬əl]
gong,gong [ɡɑːŋ]
mastný,greasy [ˈɡriː.si]
truchlit,grieve [ɡriːv]
hamburger,hamburger [ˈhæmˌbɝː.ɡɚ]
dbát,heed [hiːd]
ošklivé,hideous [ˈhɪd.i.əs]
obruč,hoop [huːp]
implicitní,implicit [ɪmˈplɪs.ɪt]
vstup,inlet [ˈɪn.let]
necitlivý,insensitive [ɪnˈsen.sə.t̬ɪv]
ostrovan,islander [ˈaɪ.lən.dɚ]
Keystone,keystone [ˈkiː.stoʊn]
pletení,knitting [ˈnit̬.ɪŋ]
Lieu,lieu [ljuː]
likvidita,liquidity [lɪˈkwɪd.ə.t̬i]
jezero,loch [lɑːk]
Krém,lotion [ˈloʊ.ʃən]
markýz,marquis [ˈmɑːr.kwɪs]
chaos,mayhem [ˈmeɪ.hem]
mylně,mistakenly [mɪˈsteɪ.kən.li]
plíseň,mould [moʊld]
nostalgický,nostalgic [nɑːˈstæl.dʒɪk]
represivní,oppressive [əˈpres.ɪv]
patronát,patronage [ˈpæt.rə.nɪdʒ]
vrchol,pinnacle [ˈpɪn.ə.kəl]
Pong,pong [pɑːŋ]
prosperovat,prosper [ˈprɑː.spɚ]
psi,psi [saɪ]
zemětřesení,quake [kweɪk]
kvalitativní,qualitative [ˈkwɑː.lə.teɪ.t̬ɪv]
závodník,racer [ˈreɪ.sɚ]
radiální,radial [ˈreɪ.di.əl]
shrnout,recap [ˈriː.kæp]
rozpoznatelný,recognizable [ˈrek.əɡ.naɪ.zə.bəl]
průzkum,reconnaissance [rɪˈkɑː.nə.səns]
regent,regent [ˈriː.dʒənt]
neochotně,reluctantly [rɪˈlʌk.tənt.li]
ztvárnění,rendition [renˈdɪʃ.ən]
Silnice,roadside [ˈroʊd.saɪd]
vědecky,scientifically [ˌsaɪ.ənˈtɪf.ɪ.kəl.i]
Scramble,scramble [ˈskræm.bəl]
sekretariát,secretariat [ˌsek.rəˈter.i.ət]
šít,sew [soʊ]
nejistý,shaky [ˈʃeɪ.ki]
falešný,sham [ʃæm]
nedostatek,shortcoming [ˈʃɔːrtˌkʌm.ɪŋ]
vrah,slayer [ˈsleɪ.ɚ]
uklidnit,soothe [suːð]
potěr,spawn [spɑːn]
Stalker,stalker [ˈstɑː.kɚ]
postava,stature [ˈstætʃ.ɚ]
stevard,steward [ˈstuː.ɚd]
tlustý,stout [staʊt]
strategicky,strategically [strəˈtiː.dʒɪ.kəl.i]
striptérka,stripper [ˈstrɪp.ɚ]
Synagoga,synagogue [ˈsɪn.ə.ɡɑːɡ]
orientační,tentative [ˈten.t̬ə.t̬ɪv]
aktuální,topical [ˈtɑː.pɪ.kəl]
nepříjemný,uneasy [ʌnˈiː.zi]
rozvinout,unfold [ʌnˈfoʊld]
rozptyl,variance [ˈver.i.əns]
Wally,wally [ˈwɑː.li]
osvobodit se,acquit [əˈkwɪt]
admiralita,admiralty [ˈæd.mər.əl.ti]
uměle,artificially [ˌɑːr.t̬əˈfɪʃ.əl.i]
kotviště,berth [bɝːθ]
vydírání,blackmail [ˈblæk.meɪl]
slepota,blindness [ˈblaɪnd.nəs]
zářivě,brightly [ˈbraɪt.li]
vloupání,burglary [ˈbɝː.ɡlɚ.i]
jídelna,cafeteria [ˌkæf.əˈtɪr.i.ə]
nemotorný,clumsy [ˈklʌm.zi]
dojíždějící,commuter [kəˈmjuː.t̬ɚ]
Pohotovostní,contingency [kənˈtɪn.dʒən.si]
skříň,cupboard [ˈkʌb.ɚd]
kaplan,curate [ˈkjʊr.ət]
Daft,daft [dæft]
deprivace,deprivation [ˌdep.rəˈveɪ.ʃən]
diskvalifikovat,disqualify [dɪˈskwɑː.lə.faɪ]
řádně,duly [ˈduː.li]
soumrak,dusk [dʌsk]
kouzla,enchant [ɪnˈtʃænt]
životní prostředí,environmentally [/kəˈlæb.ə.reɪt/]
episkopální,episcopal [ɪˈpɪs.kə.pəl]
eskalovat,escalate [ˈes.kə.leɪt]
Excelence,excellency [ˈek.səl.ən.si]
proveditelnost,feasibility [ˌfiː.zəˈbɪl.ə.t̬i]
federálně,federally [ˈfed.ɚ.əl.i]
šílenství,frenzy [ˈfren.zi]
splnění,fulfillment [fʊlˈfɪl.mənt]
kmotr,godfather [ˈɡɑːdˌfɑː.ðɚ]
hospitalizovat,hospitalize [ˈhɑː.spɪ.t̬əl.aɪz]
neúmyslně,inadvertently [ˌɪn.ədˈvɝː.t̬ənt.li]
lhostejný,indifferent [ɪnˈdɪf.ɚ.ənt]
naléhání,insistence [ɪnˈsɪs.təns]
vždy,invariably [ɪnˈver.i.ə.bli]
neporazitelný,invincible [ɪnˈvɪn.sə.bəl]
jubileum,jubilee [ˈdʒuː.bə.liː]
kinetický,kinetic [kɪˈnet̬.ɪk]
Lam,lam [læm]
Lash,lash [læʃ]
levandule,lavender [ˈlæv.ɪn.dɚ]
limonáda,lemonade [ˌlem.əˈneɪd]
mánie,mania [ˈmeɪ.ni.ə]
lékařsky,medically [ˈmed.ɪ.kəl.i]
neutron,neutron [ˈnuː.trɑːn]
řádné,orderly [ˈɔːr.dɚ.li]
začátek,outset [ˈaʊt.set]
paralyzovat,paralyze [ˈper.əl.aɪz]
Parry,parry [ˈper.i]
patio,patio [ˈpæt̬.i.oʊ]
páv,peacock [ˈpiː.kɑːk]
Pow,pow [paʊ]
Powerhouse,powerhouse [ˈpaʊ.ɚ.haʊs]
předchůdce,precursor [ˌpriːˈkɝː.sɚ]
vhodnější,preferable [ˈpref.ər.ə.bəl]
přípravek,preparatory [prɪˈper.ə.tɔːr.i]
hranol,prism [ˈprɪz.əm]
proklamace,proclamation [ˌprɑː.kləˈmeɪ.ʃən]
navrhovatel,proponent [prəˈpoʊ.nənt]
provokativní,provocative [prəˈvɑː.kə.t̬ɪv]
záměrně,purposely [ˈpɝː.pəs.li]
dotazník,questionnaire [ˌkwes.tʃəˈner]
kultivovat,reclaim [rɪˈkleɪm]
přestavba,redevelopment [ˌriː.dɪˈvel.əp.mənt]
reflex,reflex [ˈriː.fleks]
přemístit,relocate [ˌriːˈloʊ.keɪt]
odvetu,rematch [ˈriː.mætʃ]
Renal,renal [ˈriː.nəl]
splácení,repayment [rɪˈpeɪ.mənt]
hádanka,riddle [ˈrɪd.əl]
plotice,roach [roʊtʃ]
jikry,roe [roʊ]
suť,rubble [ˈrʌb.əl]
safír,sapphire [ˈsæf.aɪr]
šroubování,screwing [skruː]
šev,seam [siːm]
sekce,sectional [ˈsek.ʃən.əl]
stoupat,soar [sɔːr]
rozpustný,soluble [ˈsɑːl.jə.bəl]
rozpouštědlo,solvent [ˈsɑːl.vənt]
chobotnice,squid [skwɪd]
solidní,sturdy [ˈstɝː.di]
roj,swarm [swɔːrm]
tanker,tanker [ˈtæŋ.kɚ]
rozvrh,timetable [ˈtaɪmˌteɪ.bəl]
torpédo,torpedo [tɔːrˈpiː.doʊ]
vozík,trolley [ˈtrɑː.li]
trolling,trolling [troʊ.lɪŋ]
vaginální,vaginal [ˈvædʒ.ən.əl]
životaschopnost,viability [ˌvaɪ.əˈbɪl.ə.t̬i]
Teaket,wrought [rɑːt]
ročenka,yearbook [ˈjɪr.bʊk]
opat,abbot [ˈæb.ət]
únos,abduction [æbˈdʌk.ʃən]
předchůdce,ancestral [ænˈses.trəl]
starověk,antiquity [ænˈtɪk.wə.t̬i]
apokalyptický,apocalyptic [əˌpɑː.kəˈlɪp.t̬ɪ.k]
posouzení,appraisal [əˈpreɪ.zəl]
Aqua,aqua [ˈɑː.kwə]
osika,aspen [ˈæs.pən]
autistický,autistic [ɑːˈtɪs.tɪk]
nosič,bearer [ˈber.ɚ]
bezútěšný,bleak [bliːk]
mixér,blender [ˈblen.dɚ]
falešný,bogus [ˈboʊ.ɡəs]
vzkvétající,booming [ˈbuː.mɪŋ]
pohmoždit,bruise [bruːz]
kaplan,chaplain [ˈtʃæp.lɪn]
chlór,chlorine [ˈklɔːr.iːn]
Chow,chow [tʃaʊ]
kulaťoučký,chubby [ˈtʃʌb.i]
Clement,clement [ˈklem.ənt]
koluze,collusion [kəˈluː.ʒən]
smluvní,contractual [kənˈtræk.tʃu.əl]
koroner,coroner [ˈkɔːr.ən.ɚ]
opravné,correctional [kəˈrek.ʃən.əl]
krémová,creamy [ˈkriː.mi]
zhoršení,deterioration [dɪˌtɪr.i.əˈreɪ.ʃən]
nevíra,disbelief [ˌdɪs.bɪˈliːf]
diskrétní,discreet [dɪˈskriːt]
Dizzy,dizzy [ˈdɪz.i]
duet,duet [duːˈet]
expresivní,expressive [ɪkˈspres.ɪv]
housle,fiddle [ˈfɪd.əl]
opevnit,fortify [ˈfɔːr.t̬ə.faɪ]
zevšeobecnit,generalize [ˈdʒen.ər.əl.aɪz]
lesklý,glossy [ˈɡlɑː.si]
štěrk,grit [ɡrɪt]
hektar,hectare [ˈhek.ter]
bezdomovectví,homelessness [ˈhoʊm.ləs.nəs]
Hrozný,horrendous [həˈren.dəs]
ubytovna,hostel [ˈhɑː.stəl]
pronásledovat,hound [haʊnd]
nelegitimní,illegitimate [ˌɪl.ɪˈdʒɪt̬.ə.mət]
nedovolený,illicit [ɪˈlɪs.ɪt]
neschopnost,incompetence [ɪnˈkɑːm.pə.t̬əns]
nespavost,insomnia [ɪnˈsɑːm.ni.ə]
zachycení,interception [ˌɪn.t̬ɚˈsep.ʃən]
laguna,lagoon [ləˈɡuːn]
léze,lesion [ˈliː.ʒən]
kulhat,limp [lɪmp]
prodlévat,linger [ˈlɪŋ.ɡɚ]
logicky,logically [ˈlɑː.dʒɪ.kəl.i]
blázen,lunatic [ˈluː.nə.tɪk]
lyrický,lyrical [ˈlɪr.ɪ.kəl]
manifestace,manifestation [ˌmæn.ə.fesˈteɪ.ʃən]
Mead,mead [miːd]
migrovat,migrate [ˈmaɪ.ɡreɪt]
mírně,mildly [ˈmaɪld.li]
zázračný,miraculous [məˈræk.jə.ləs]
sténání,moaning [moʊn]
světský,mundane [mʌnˈdeɪn]
ne,nay [neɪ]
Stručně řečeno,nutshell [ˈnʌt.ʃel]
posedlí,obsessive [əbˈses.ɪv]
přes palubu,overboard [ˈoʊ.vɚ.bɔːrd]
přívěšek,pendant [ˈpen.dənt]
Petite,petite [pəˈtiːt]
pasák,pimp [pɪmp]
viset,poise [pɔɪz]
zadní,posterior [pɑːˈstɪr.i.ɚ]
vak,pouch [paʊtʃ]
Znalost,proficiency [prəˈfɪʃ.ən.si]
protestor,protestor [ˈproʊ.tes.tɚ]
psychotický,psychotic [saɪˈkɑː.t̬ɪk]
sestup,relegation [ˌrel.əˈɡeɪ.ʃən]
repertoár,repertoire [ˈrep.ɚ.twɑːr]
úložiště,repository [rɪˈpɑː.zɪ.tɔːr.i]
rachot,rumble [ˈrʌm.bəl]
Saloon,saloon [səˈluːn]
chatrč,shack [ʃæk]
hříšník,sinner [ˈsɪn.ɚ]
zplodit,sire [saɪr]
zatuchlý,stale [steɪl]
sterilní,sterile [ˈster.əl]
krok,stride [straɪd]
přísné,stringent [ˈstrɪn.dʒənt]
Torrent,torrent [ˈtɔːr.ənt]
praktikant,trainee [ˌtreɪˈniː]
koryto,trough [trɑːf]
bříško,tummy [ˈtʌm.i]
nespravedlivý,unjust [ʌnˈdʒʌst]
vis,vis [ˌviːz.əˈviː]
vsadit,wager [ˈweɪ.dʒɚ]
rána,whack [wæk]
urychlovač,accelerator [ekˈsel.ɚ.eɪ.t̬ɚ]
akryl,acrylic [əˈkrɪl.ɪk]
anexe,annexation [ˌæn.ekˈseɪ.ʃən]
výstup,ascent [əˈsent]
balada,ballad [ˈbæl.əd]
bigotnost,bigotry [ˈbɪɡ.ə.tri]
knihkupectví,bookstore [ˈbʊk.stɔːr]
koště,broom [bruːm]
hovado,brute [bruːt]
maskovat,camouflage [ˈkæm.ə.flɑːʒ]
především,chiefly [ˈtʃiːf.li]
porod,childbirth [ˈtʃaɪld.bɝːθ]
kompatibilní,compliant [kəmˈplaɪ.ənt]
konzervatismus,conservatism [kənˈsɝː.və.tɪ.zəm]
kontinuum,continuum [kənˈtɪn.ju.əm]
Corona,corona [kəˈroʊ.nə]
zbabělý,cowardly [ˈkaʊ.ɚd.li]
obchodní zastoupení,dealership [ˈdiː.lɚ.ʃɪp]
vzdorovat,defy [dɪˈfaɪ]
Označte,denote [dɪˈnoʊt]
hustě,densely [ˈdens.li]
odpočívat,devoid [dɪˈvɔɪd]
disparita,disparity [dɪˈsper.ə.t̬i]
diva,diva [ˈdiː.və]
jedlík,eater [ˈiː.t̬ɚ]
elegance,elegance [ˈel.ə.ɡəns]
šifrování,encrypt [ɪnˈkrɪpt]
mimořádně,extraordinarily [ɪkˈstrɔːr.dən.er.əl.i]
fasáda,facade [fəˈsɑːd]
statek,farmhouse [ˈfɑːrm.haʊs]
hnojivo,fertilizer [ˈfɝː.t̬əl.aɪ.zɚ]
plnivo,filler [ˈfɪl.ɚ]
blecha,flea [fliː]
obuv,footwear [ˈfʊt.wer]
dobrota,goody [ˈɡʊd.i]
kabelka,handbag [ˈhænd.bæɡ]
opar,haze [heɪz]
konopí,hemp [hemp]
Hitch,hitch [hɪtʃ]
inkarnace,incarnation [ˌɪn.kɑːrˈneɪ.ʃən]
vniknutí,intrusion [ɪnˈtruː.ʒən]
inverzní,inverse [ɪnˈvɝːs]
invertovat,invert [ɪnˈvɝːt]
podráždění,irritation [ˌɪr.əˈteɪ.ʃən]
bohatý,lavish [ˈlæv.ɪʃ]
smíšený,miscellaneous [ˌmɪs.əlˈeɪ.ni.əs]
zavádějící,misguided [ˌmɪsˈɡaɪ.dɪd]
zítřek,morrow [ˈmɔːr.oʊ]
shromáždit,muster [ˈmʌs.tɚ]
nylon,nylon [ˈnaɪ.lɑːn]
přepínat,override [ˌoʊ.vɚˈraɪd]
ozón,ozone [ˈoʊ.zoʊn]
paranoia,paranoia [ˌper.əˈnɔɪ.ə]
pronásledovat,persecute [ˈpɝː.sɪ.kjuːt]
fosfát,phosphate [ˈfɑːs.feɪt]
fyzik,physicist [ˈfɪz.ɪ.sɪst]
množství,plurality [plʊˈræl.ə.t̬i]
prehistorický,prehistoric [ˌpriː.hɪˈstɔːr.ɪk]
zájmeno,pronoun [ˈproʊ.naʊn]
proton,proton [ˈproʊ.t̬ɑːn]
psychika,psyche [ˈsaɪ.ki]
redesign,redesign [ˌriː.dɪˈzaɪn]
neochota,reluctance [rɪˈlʌk.təns]
lanoví,rigging [ˈrɪɡ.ɪŋ]
rotor,rotor [ˈroʊ.t̬ɚ]
usazenina,sediment [ˈsed.ə.mənt]
zdánlivý,seeming [ˈsiː.mɪŋ]
samota,solitude [ˈsɑː.lə.tuːd]
pevnost,stronghold [ˈstrɑːŋ.hoʊld]
teoretik,theorist [ˈθiː.ɚ.ɪst]
tam,therein [ˌðerˈɪn]
trojúhelníkový,triangular [-lɚ]
voják,trooper [ˈtruː.pɚ]
pravdivý,truthful [ˈtruːθ.fəl]
věžička,turret [ˈtɝː.ət]
všudypřítomný,ubiquitous [juːˈbɪk.wə.t̬əs]
neuvěřitelně,unbelievably [ˌʌn.bɪˈliː.və.bli]
nekonvenční,unconventional [ˌʌn.kənˈven.ʃən.əl]
zbytečně,unnecessarily [ʌnˌnes.əˈser.əl.i]
nepovšimnutý,unnoticed [ʌnˈnoʊ.t̬ɪst]
nedotčený,untouched [ʌnˈtʌtʃt]
vizionář,visionary [ˈvɪʒ.er.i]
čarodějnictví,witchcraft [ˈwɪtʃ.kræft]
cizoložství,adultery [əˈdʌl.tɚ.i]
agilní,agile [ˈædʒ.əl]
anonymně,anonymously [əˈnɑː.nə.məs.li]
přísnost,austerity [ˈɑː.ster.ə.t̬i]
strašně,awfully [ˈɑː.fəl.i]
CAD,cad [kæd]
kandidatura,candidacy [ˈkæn.dɪ.də.si]
Clubhouse,clubhouse [ˈklʌb.haʊs]
hrubý,coarse [kɔːrs]
Collegiate,collegiate [kəˈliː.dʒɪt]
všední,commonplace [ˈkɑː.mən.pleɪs]
sebevědomě,confidently [ˈkɑːn.fə.dənt.li]
omezení,constrain [kənˈstreɪn]
rozjímat,contemplate [ˈkɑːn.t̬əm.pleɪt]
konvertor,converter [kənˈvɝː.t̬ɚ]
coop,coop [kuːp]
koronární,coronary [ˈkɔːr.ə.ner.i]
podvodník,crook [krʊk]
okurka,cucumber [ˈkjuː.kʌm.bɚ]
košíček,cupcake [ˈkʌp.keɪk]
ředitelství,directorate [daɪˈrek.tər.ət]
spící,dormant [ˈdɔːr.mənt]
emulovat,emulate [ˈem.jə.leɪt]
zahrnovat,encompass [ɪnˈkʌm.pəs]
vybavit,endow [ɪnˈdaʊ]
dotaz,enquiry [ˈɪn.kwɚ.i]
úniky,evasion [ɪˈveɪ.ʒən]
evergreen,evergreen [ˈev.ɚ.ɡriːn]
vystěhování,eviction [ɪˈvɪk.ʃən]
vyhoštění,expulsion [ɪkˈspʌl.ʃən]
špína,filth [fɪlθ]
listy,foliage [ˈfoʊ.li.ɪdʒ]
uzavření trhu,foreclosure [fɔːrˈkloʊ.ʒɚ]
čtrnáct dní,fortnight [ˈfɔːrt.naɪt]
Genie,genie [ˈdʒiː.ni]
zlomené srdce,heartbroken [ˈhɑːrtˌbroʊ.kən]
pomocník,helper [ˈhel.pɚ]
váhavý,hesitant [ˈhez.ə.tənt]
hypertenze,hypertension [ˌhaɪ.pɚˈten.ʃən]
ponořit,immerse [ɪˈmɝːs]
nesmrtelnost,immortality [ˌɪm.ɔːrˈtæl.ə.t̬i]
neurčitý,indefinite [ɪnˈdef.ən.ət]
bystrý,insightful [ˈɪn.saɪt.fəl]
bez ohledu na to,irrespective [ˌɪr.əˈspek.tɪv]
římsa,ledge [ledʒ]
slad,malt [mɑːlt]
Moderátor,moderator [ˈmɑː.də.reɪ.t̬ɚ]
monstrózní,monstrous [ˈmɑːn.strəs]
morfologie,morphology [mɔːrˈfɑː.lə.dʒi]
nekrolog,obituary [oʊˈbɪtʃ.u.er.i]
vysvěcení,ordination [ˌɔːr.dənˈeɪ.ʃən]
parita,parity [ˈper.ə.t̬i]
přesvědčivý,persuasive [pɚˈsweɪ.sɪv]
lavice,pew [pjuː]
Polik,populous [ˈpɑː.pjə.ləs]
poválečný,postwar [ˈpoʊst.wɔːr]
Projektor,projector [prəˈdʒek.tɚ]
prominentně,prominently [ˈprɑː.mə.nənt.li]
obezřetný,prudent [ˈpruː.dənt]
ratifikovat,ratify [ˈræt̬.ə.faɪ]
rafinace,refining [/kəˈlæb.ə.reɪt/]
reliant,reliant [rɪˈlaɪ.ənt]
seriózní,reputable [ˈrep.jə.t̬ə.bəl]
revolver,revolver [rɪˈvɑːl.vɚ]
točit se,revolve [rɪˈvɑːlv]
kluziště,rink [rɪŋk]
vlnění,ripple [ˈrɪp.əl]
lupič,robber [ˈrɑː.bɚ]
stráž,sentinel [ˈsen.t̬ɪ.nəl]
slavnostní,solemn [ˈsɑː.ləm]
prostorný,spacious [ˈspeɪ.ʃəs]
Sprung,sprung [sprʌŋ]
podstatné,substantive [səbˈstæn.t̬ɪv]
nahrazení,substitution [ˌsʌb.stəˈtuː.ʃən]
trup,torso [ˈtɔːr.soʊ]
ohromně,tremendously [trɪˈmen.dəs.li]
pád,tumble [ˈtʌm.bəl]
nepublikovaný,unpublished [ʌnˈpʌb.lɪʃt]
nepravda,untrue [ʌnˈtruː]
ústně,verbally [ˈvɝː.bəl.i]
vitalita,vitality [vaɪˈtæl.ə.t̬i]
plakat,weep [wiːp]
čelní sklo,windshield [ˈwɪnd.ʃiːld]
zvěrokruh,zodiac [ˈzoʊ.di.æk]
opuštění,abandonment [əˈbæn.dən.mənt]
propast,abyss [əˈbɪs]
přistoupení,accession [əkˈseʃ.ən]
aritmetický,arithmetic [əˈrɪθ.mə.tɪk]
žhářství,arson [ˈɑːr.sən]
astronom,astronomer [əˈstrɑː.nə.mɚ]
autoritativní,authoritative [əˈθɔːr.ə.t̬ə.t̬ɪv]
neplodný,barren [ˈber.ən]
Bazální,basal [ˈbeɪ.səl]
Batsman,batsman [ˈbæt.smən]
Bender,bender [ˈben.dɚ]
Bourgeois,bourgeois [ˈbʊrʒ.wɑː]
podplácení,bribery [ˈbraɪ.bɚ.i]
bruneta,brunette [bruˈnet]
chronologický,chronological [ˌkrɑː.nəˈlɑː.dʒɪ.kəl]
štěpení,cleavage [ˈkliː.vɪdʒ]
kohorta,cohort [ˈkoʊ.hɔːrt]
přikázání,commandment [kəˈmænd.mənt]
kondenzovat,condense [kənˈdens]
svolat,convene [kənˈviːn]
hýčkat,cuddle [ˈkʌd.əl]
viník,culprit [ˈkʌl.prɪt]
zastrašit,daunt [dɑːnt]
Demos,demos [ˈdem.oʊ]
odchylka,deviation [ˌdiː.viˈeɪ.ʃən]
difúze,diffusion [dɪˈfjuː.ʒən]
dildo,dildo [ˈdɪl.doʊ]
nedůvěra,distrust [dɪˈstrʌst]
podnikatel,entrepreneurial [ˌɑːn.trə.prəˈnʊr.i.əl]
éter,ether [ˈiː.θɚ]
etiketa,etiquette [ˈet̬.ɪ.kɪt]
extravagantní,extravagant [ɪkˈstræv.ə.ɡənt]
obeznámenost,familiarity [fəˌmɪl.iˈer.ə.t̬i]
